OverallQual,GrLivArea,BsmtQual,Neighborhood,KitchenQual,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GarageArea,FullBath,MasVnrArea,ExterQual,YearRemod/Add,MSSubClass,YearBuilt,SalePrice
6,1656,TA,NAmes,TA,639.0,1080.0,1656,528.0,1,112.0,TA,1960,20,1960,215000
5,896,TA,NAmes,TA,468.0,882.0,896,730.0,1,0.0,TA,1961,20,1961,105000
6,1329,TA,NAmes,Gd,923.0,1329.0,1329,312.0,1,108.0,TA,1958,20,1958,172000
7,2110,TA,NAmes,Ex,1065.0,2110.0,2110,522.0,2,0.0,Gd,1968,20,1968,244000
5,1629,Gd,Gilbert,TA,791.0,928.0,928,482.0,2,0.0,TA,1998,60,1997,189900
6,1604,TA,Gilbert,Gd,602.0,926.0,926,470.0,2,20.0,TA,1998,60,1998,195500
8,1338,Gd,StoneBr,Gd,616.0,1338.0,1338,582.0,2,0.0,Gd,2001,120,2001,213500
8,1280,Gd,StoneBr,Gd,263.0,1280.0,1280,506.0,2,0.0,Gd,1992,120,1992,191500
8,1616,Gd,StoneBr,Gd,1180.0,1595.0,1616,608.0,2,0.0,Gd,1996,120,1995,236500
7,1804,TA,Gilbert,Gd,0.0,994.0,1028,442.0,2,0.0,TA,1999,60,1999,189000
6,1655,Gd,Gilbert,TA,0.0,763.0,763,440.0,2,0.0,TA,1994,60,1993,175900
6,1187,Gd,Gilbert,TA,935.0,1168.0,1187,420.0,2,0.0,TA,2007,20,1992,185000
6,1465,Gd,Gilbert,TA,0.0,789.0,789,393.0,2,0.0,TA,1998,60,1998,180400
7,1341,Gd,Gilbert,Gd,637.0,1300.0,1341,506.0,1,0.0,TA,1990,20,1990,171500
8,1502,Gd,StoneBr,Gd,368.0,1488.0,1502,528.0,1,0.0,Gd,1985,120,1985,212000
8,3279,Gd,StoneBr,Ex,1416.0,1650.0,1690,841.0,3,603.0,Ex,2003,60,2003,538000
8,1752,Gd,Gilbert,TA,427.0,559.0,1080,492.0,2,0.0,Gd,2005,50,1988,164000
9,1856,Ex,StoneBr,Ex,1445.0,1856.0,1856,834.0,1,350.0,Gd,2010,20,2010,394432
4,864,TA,Gilbert,TA,120.0,864.0,864,400.0,1,0.0,TA,1951,20,1951,141000
6,2073,Gd,NWAmes,TA,790.0,1542.0,2073,500.0,2,119.0,TA,1988,20,1978,210000
6,1844,Gd,NWAmes,TA,705.0,1844.0,1844,546.0,2,480.0,TA,1977,20,1977,190000
7,1173,Gd,NWAmes,Gd,885.0,1053.0,1173,528.0,2,81.0,TA,1974,85,1974,170000
7,1674,Gd,Somerst,Gd,533.0,814.0,814,663.0,2,0.0,Gd,2000,60,2000,216000
6,1004,TA,NAmes,TA,578.0,1004.0,1004,480.0,1,180.0,TA,1970,20,1970,149000
5,1078,TA,NAmes,TA,734.0,1078.0,1078,500.0,1,0.0,TA,2008,20,1971,149900
5,1056,TA,NAmes,TA,775.0,1056.0,1056,304.0,1,0.0,TA,1968,20,1968,142000
4,882,TA,NAmes,TA,804.0,882.0,882,525.0,1,0.0,TA,1970,20,1970,126000
4,864,TA,NAmes,TA,432.0,864.0,864,0.0,1,0.0,TA,1971,20,1971,115000
7,1337,Gd,NAmes,Gd,1051.0,1405.0,1337,511.0,2,0.0,Gd,1999,120,1999,184000
6,987,TA,BrDale,TA,156.0,483.0,483,264.0,1,504.0,TA,1971,160,1971,96000
5,1092,TA,BrDale,TA,300.0,525.0,525,320.0,1,492.0,TA,1971,160,1971,105500
6,1092,TA,BrDale,TA,0.0,525.0,525,264.0,1,381.0,TA,1971,160,1971,88000
6,1069,Gd,NPkVill,TA,360.0,1069.0,1069,440.0,2,0.0,TA,1977,120,1977,127500
6,1456,TA,NPkVill,Gd,514.0,855.0,855,440.0,2,0.0,TA,1975,160,1975,149900
7,836,Gd,NPkVill,TA,0.0,836.0,836,308.0,1,0.0,TA,1975,120,1975,120000
6,1456,Gd,NPkVill,TA,311.0,855.0,855,440.0,2,0.0,TA,1978,160,1978,146000
9,2334,Ex,NridgHt,Ex,0.0,1590.0,1627,751.0,2,162.0,Ex,2010,60,2009,376162
8,1704,Ex,NridgHt,Gd,1218.0,1704.0,1704,772.0,2,200.0,Gd,2008,20,2007,306000
9,1940,Ex,NridgHt,Ex,1646.0,1930.0,1940,606.0,2,450.0,Ex,2010,20,2009,395192
8,1544,Gd,NridgHt,Gd,0.0,1544.0,1544,868.0,2,256.0,Gd,2010,20,2009,290941
7,1541,Gd,NridgHt,Gd,1201.0,1541.0,1541,532.0,2,226.0,Gd,2005,20,2005,220000
9,1698,Ex,NridgHt,Ex,110.0,1698.0,1698,730.0,2,615.0,Gd,2005,20,2005,275000
8,1822,Ex,NridgHt,Ex,28.0,1822.0,1822,678.0,2,240.0,Gd,2006,20,2005,259000
7,1535,Gd,NridgHt,Gd,2.0,1517.0,1535,532.0,2,168.0,Gd,2004,20,2004,214000
9,2364,Ex,NridgHt,Ex,2188.0,2330.0,2364,820.0,2,760.0,Ex,2010,20,2009,611657
7,1358,Gd,NridgHt,Gd,733.0,1358.0,1358,484.0,2,128.0,Gd,2010,120,2009,224000
9,2696,Ex,NridgHt,Ex,1373.0,2846.0,2696,958.0,2,1095.0,Ex,2004,20,2003,500000
8,2250,Gd,NridgHt,Gd,578.0,1671.0,1687,756.0,2,232.0,Gd,2002,60,2002,320000
9,1752,Ex,NridgHt,Ex,456.0,1752.0,1752,576.0,2,412.0,Ex,2005,120,2005,319900
8,1370,Gd,NridgHt,Gd,24.0,1370.0,1370,484.0,2,178.0,Gd,2006,120,2006,205000
7,1626,Gd,NridgHt,Gd,0.0,764.0,764,474.0,2,106.0,Gd,2003,160,2003,175500
6,1324,Gd,Gilbert,Gd,0.0,1324.0,1324,430.0,2,0.0,Gd,2005,20,2005,199500
7,1145,Gd,Blmngtn,Gd,16.0,1145.0,1145,437.0,2,14.0,Gd,2006,120,2006,160000
8,1269,Gd,Blmngtn,Gd,24.0,1256.0,1269,430.0,2,16.0,Gd,2005,120,2004,192000
7,1374,Gd,Gilbert,Gd,326.0,384.0,744,400.0,2,0.0,Gd,2004,80,2004,184500
6,1960,Gd,Gilbert,Gd,625.0,860.0,860,440.0,2,,Gd,2002,60,2002,216500
7,1733,Gd,Gilbert,Gd,0.0,847.0,847,433.0,2,0.0,Gd,2004,60,2004,185088
7,1430,Gd,Gilbert,TA,250.0,384.0,774,400.0,2,0.0,TA,2000,80,2000,180000
7,2035,Gd,Gilbert,Gd,0.0,884.0,884,434.0,2,180.0,Gd,2001,60,2001,222500
9,2599,Gd,NoRidge,Gd,0.0,1393.0,1422,779.0,2,165.0,Gd,1999,60,1999,333168
8,2475,Ex,NoRidge,Gd,0.0,1629.0,1645,962.0,2,114.0,Gd,1998,60,1998,355000
7,1720,Gd,NoRidge,Gd,919.0,1720.0,1720,527.0,2,338.0,Gd,1996,20,1996,260400
8,2622,Ex,NoRidge,Gd,1032.0,1463.0,1500,712.0,2,362.0,Gd,1995,60,1994,325000
8,2270,Gd,NoRidge,Gd,524.0,1152.0,1164,671.0,2,348.0,Gd,2007,60,1999,290000
7,1839,Gd,NoRidge,TA,0.0,1195.0,1195,486.0,2,30.0,Gd,1998,60,1998,221000
8,3238,Gd,NoRidge,Gd,816.0,2033.0,2053,666.0,2,579.0,Gd,1996,50,1995,410000
8,1595,Gd,Somerst,Gd,0.0,1595.0,1595,880.0,2,226.0,Gd,2006,20,2005,221500
7,1218,Gd,Somerst,Gd,0.0,1218.0,1218,676.0,2,0.0,Gd,2010,20,2009,204500
7,1547,Gd,Somerst,Gd,24.0,756.0,764,614.0,2,0.0,TA,2009,60,2009,215200
8,1566,Gd,Somerst,Gd,1078.0,1566.0,1566,750.0,2,36.0,Gd,2008,20,2008,262500
7,1947,Gd,Somerst,Gd,222.0,991.0,991,678.0,2,0.0,Gd,2005,60,2004,254900
6,1468,Ex,Somerst,Gd,1414.0,1468.0,1468,528.0,2,0.0,Gd,2005,20,2005,271500
7,2084,Gd,SawyerW,Gd,656.0,956.0,956,618.0,2,0.0,Gd,2004,60,2004,233000
7,1659,Gd,SawyerW,Gd,0.0,831.0,831,484.0,2,122.0,Gd,2004,60,2004,181000
7,2110,Gd,SawyerW,Gd,695.0,948.0,1222,463.0,2,0.0,Gd,2002,60,1994,205000
6,923,Gd,SawyerW,TA,543.0,923.0,923,264.0,2,0.0,TA,1980,120,1980,143000
6,1845,Gd,SawyerW,Gd,0.0,1055.0,1055,462.0,2,0.0,Gd,1992,60,1992,189000
6,918,Gd,SawyerW,TA,0.0,918.0,918,264.0,2,0.0,TA,1979,120,1979,99500
6,752,Gd,SawyerW,TA,623.0,744.0,752,264.0,1,0.0,TA,1984,120,1984,125000
7,1744,Gd,SawyerW,Gd,402.0,996.0,1014,457.0,2,0.0,Gd,2003,60,1993,194500
6,1097,Gd,SawyerW,TA,338.0,1040.0,1097,480.0,2,0.0,TA,1985,20,1984,152000
6,1564,Gd,SawyerW,TA,0.0,650.0,888,476.0,2,130.0,TA,1981,60,1980,171000
5,1012,TA,SawyerW,TA,0.0,816.0,1012,429.0,1,0.0,TA,1950,30,1920,67500
6,1902,,Sawyer,TA,0.0,0.0,1318,539.0,2,0.0,TA,1978,90,1978,112000
5,1155,TA,Sawyer,Gd,899.0,1109.0,1155,576.0,1,0.0,TA,1995,85,1961,148000
5,894,TA,Sawyer,TA,553.0,894.0,894,336.0,1,0.0,TA,2009,20,1965,138500
5,900,TA,Sawyer,TA,450.0,882.0,900,280.0,1,31.0,TA,1967,20,1967,122000
5,1040,TA,Sawyer,TA,824.0,1040.0,1040,308.0,1,0.0,TA,1963,20,1963,133000
5,1040,TA,Sawyer,TA,659.0,1040.0,1040,260.0,1,0.0,TA,2010,20,1962,127000
6,1494,TA,Sawyer,TA,126.0,1208.0,1494,461.0,2,250.0,TA,2002,20,1974,169000
7,1923,Gd,NoRidge,Gd,674.0,750.0,1061,564.0,2,0.0,Gd,1992,60,1992,190000
8,2349,Gd,NoRidge,Gd,250.0,1231.0,1251,762.0,2,504.0,Gd,1993,60,1993,362500
8,2225,Gd,NoRidge,Gd,1129.0,1390.0,1402,713.0,2,180.0,Gd,1993,60,1992,285000
7,1488,Ex,Somerst,Gd,1298.0,1488.0,1488,506.0,2,0.0,Gd,2005,120,2004,260000
7,1680,Gd,Somerst,Gd,0.0,840.0,840,588.0,2,0.0,Gd,2004,160,2004,190000
7,1200,Gd,Somerst,Gd,280.0,600.0,600,480.0,2,120.0,Gd,2004,160,2004,155000
7,1200,Gd,Somerst,Gd,0.0,600.0,600,480.0,2,0.0,Gd,2005,160,2004,151000
7,1200,Gd,Somerst,Gd,368.0,600.0,600,480.0,2,0.0,Gd,2005,160,2004,149500
6,1236,Gd,Somerst,Gd,376.0,600.0,600,480.0,2,216.0,Gd,2005,160,2005,152000
7,1478,Ex,Somerst,Gd,578.0,1470.0,1478,484.0,2,432.0,Ex,2009,20,2009,222000
6,1573,Gd,Somerst,Gd,378.0,756.0,769,440.0,2,216.0,Gd,2000,160,2000,177500
6,1512,Gd,Somerst,Gd,466.0,756.0,756,440.0,2,1159.0,Gd,2000,160,2000,177000
7,1416,Gd,Somerst,Gd,604.0,696.0,696,484.0,2,0.0,Gd,1999,160,1999,155000
7,1080,Gd,Somerst,Gd,244.0,530.0,530,496.0,2,0.0,Gd,2003,160,2003,147110
8,1418,Ex,Somerst,Gd,1032.0,1642.0,1418,852.0,1,0.0,Gd,2010,20,2010,267916
