OverallQual,GrLivArea,BsmtQual,Neighborhood,KitchenQual,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GarageArea,FullBath,MasVnrArea,ExterQual,YearRemod/Add,MSSubClass,YearBuilt,SalePrice
7,1952,TA,IDOTRR,Gd,354.0,976.0,976,299.0,1,0.0,TA,2005,60,1950,212300
4,960,TA,Edwards,TA,0.0,960.0,960,0.0,1,0.0,TA,1958,20,1958,90000
6,1570,TA,NAmes,TA,958.0,1395.0,1570,441.0,1,187.0,TA,1958,20,1958,166800
5,1120,Gd,Mitchel,TA,206.0,1120.0,1120,0.0,1,0.0,TA,2007,20,2007,147000
7,1501,Gd,Timber,Gd,893.0,1277.0,1501,512.0,2,340.0,Gd,1986,120,1986,241500
6,838,TA,BrkSide,Fa,210.0,816.0,838,275.0,1,0.0,TA,2000,30,1918,130000
4,864,TA,Gilbert,TA,120.0,864.0,864,400.0,1,0.0,TA,1951,20,1951,141000
5,1203,TA,BrkSide,Gd,185.0,709.0,979,352.0,1,161.0,TA,1950,50,1950,110000
4,1005,TA,NAmes,Fa,0.0,1005.0,1005,672.0,1,0.0,TA,1955,20,1955,115000
7,1930,Gd,NWAmes,Gd,758.0,780.0,1085,481.0,2,549.0,TA,1979,60,1979,192000
7,1789,TA,Somerst,TA,681.0,858.0,872,546.0,2,513.0,TA,2001,60,2001,223000
5,1170,TA,NAmes,TA,625.0,1170.0,1170,338.0,1,0.0,TA,1958,20,1958,140000
8,1652,Gd,StoneBr,Ex,1196.0,1494.0,1652,499.0,2,0.0,Gd,2000,120,2000,251000
7,1740,Ex,NridgHt,Gd,0.0,1721.0,1740,874.0,2,206.0,Gd,2006,20,2006,293000
6,1680,Gd,Crawfor,TA,0.0,840.0,840,308.0,2,0.0,TA,1976,70,1915,177000
6,1442,TA,NAmes,TA,608.0,1442.0,1442,301.0,1,243.0,TA,1958,20,1958,157900
4,1540,TA,NAmes,Fa,150.0,1190.0,1040,352.0,1,0.0,TA,1955,50,1955,115000
5,1647,Gd,Crawfor,Gd,1283.0,1430.0,1647,621.0,2,459.0,TA,1977,20,1977,217500
4,960,TA,Edwards,TA,0.0,672.0,960,288.0,1,0.0,TA,1956,20,1956,112000
7,1253,Gd,Gilbert,TA,0.0,1237.0,1253,402.0,2,38.0,TA,1996,20,1995,176000
5,1200,TA,Edwards,TA,352.0,768.0,768,240.0,1,0.0,TA,1995,50,1946,130500
7,2454,TA,OldTown,TA,0.0,819.0,1312,576.0,2,0.0,TA,1987,75,1879,185000
4,1461,TA,NAmes,TA,0.0,832.0,832,384.0,2,0.0,TA,1996,50,1949,133500
8,1685,Gd,Somerst,Gd,0.0,1685.0,1685,658.0,2,298.0,Gd,2006,20,2006,253000
6,1688,Gd,ClearCr,Gd,462.0,616.0,616,603.0,2,0.0,TA,1997,60,1997,200000
5,1214,TA,Edwards,TA,698.0,1214.0,1214,461.0,1,0.0,TA,1965,20,1965,140000
6,1796,TA,NAmes,TA,400.0,780.0,983,483.0,1,415.0,TA,1963,60,1963,140000
5,912,TA,Sawyer,TA,842.0,912.0,912,336.0,1,0.0,TA,1967,20,1967,125000
5,1728,TA,NAmes,TA,625.0,1048.0,1728,576.0,2,70.0,TA,1956,20,1956,177625
5,912,TA,NAmes,Gd,595.0,912.0,912,576.0,1,300.0,TA,2008,20,1965,147000
